"title"|"fix_title"|"author"|"id"|"category"
cinta-di-rumah-hassan-al-banna|Cinta di Rumah Hasan Al-Banna|Muhammad Lili Nur Aulia|155|Lifestyle
Crypto Investing Principles|Crypto Investing Principles|Akademi Crypto|156|Business
Dark psychology|Dark Psychology|Ryan Watson|159|Psychology
Elon Musk (Ashlee Vance)|Elon Musk|Ashlee Vance|169|Technology
Farmakologi Dasar|Farmakologi Dasar|Prof Rovina Rusiami|172|Lifestyle
Fiersa Besari|Garis Waktu|Fiersa Besari|174|Fiction
Filosofi Teras by Henry Manampiring|Filosofi Teras|Henry Manampiring|175|Self-Improvement
Forgiving Our Parents, Forgiving Ourselves|Forgiving Our Parents, Forgiving Ourselves|Dr David Stoop|177|Self-Improvement
Generative Artificial Intel|Generative Artificial Intelligence|Shivam R Solanki and Drupad K Khublani|180|Technology
GRIT The Power of Passion and Perseverance Bahasa Indonesia|GRIT - Kekuatan Passion dan Kegigihan|Malcolm Gladwell|181|Self-Improvement
Hacking APIs|Hacking APIs|Corey J. Ball|182|Technology
Harry Potter #3 The Prisoner of Azkaban|Harry Potter #3 The Prisoner of Azkaban|J.K Rowling|184|Fiction
Daun yangJatuhTak Pernah Membenci Angin|Daun yang JatuhTak Pernah Membenci Angin|Tere Liye|163|Self-Improvement
The Art of Public Speaking The Original Tool for|The Art of Public Speaking|Unknown Author|104|Communication
A The Essence of Thick Face, Black Heart|A The Essence of Thick Face, Black Heart|Chin-Ning Chu|117|Self-Improvement
Berdamai Dengan Insecurity|Berdamai Dengan Insecurity|Sony Adams|141|Self-Improvement
Hilmy Milan (Nadia Ristivani)|Hilmy Milan|Nadia Ristivani|189|Self-Improvement
Homo Deus|Homo Deus|Yuval Harari Noah|190|History
How to Hack Like a Legend|How to Hack Like a Legend|Spark Flow|191|Self-Improvement
How To Think Like Sherlock|How To Think Like Sherlock|Peter Hollins|192|Psychology
how-to-manage-your-boss|How to Manage Your Boss|Christopher Hegarty|194|Leadership
Hujan Tere Liye|Hujan|Tere Liye|197|Fiction
Humanisme dan Sesudahnya Meninjau Ulang Gagasan Besar tentang Manusia|""|F. Budi Hardiman|200|Self-Improvement
Ikigai For Jomblo - Bahagia & Sukses|Ikigai For Jomblo|Been Rafanani|203|Self-Improvement
Ini Bukan Revolusiku (Emma Goldman)|Ini Bukan Revolusiku|Emma Goldman|206|History
Harry Potter and the Sorcer|Harry Potter and the Sorcer Stone|J.K Rowling|186|Fiction
Jika Kita Tak Pernah Jadi Apa-Apa (Alvi Syahrin)|Jika Kita Tak Pernah Jadi Apa-Apa|Alvi Syahrin|212|Self-Improvement
Joko Pinurbo|Buku Latihan Tidur|Joko Pinurbo|213|Fiction
Jostein Gaarder|Dunia Shopie|Jostein Gaarder|214|Self-Improvement
Karakteristik Istri Sholihah|Karakteristik Istri Sholihah|Syaikh Prof. Dr. Abdul Razzaq|215|Religion
Keigo Higashino|Catatan Pembunuhan sang Novelis|Keigo Higashino|218|Self-Improvement
Ketika Aku Tak Tahu Apa yang aku inginkan|Ketika Aku Tak Tahu Apa yang aku inginkan|Jeon Seunghwan|219|Self-Improvement
Kitab Firasat Ilmu Membaca Sifat dan Karakter Orang dari Bentuk|Kitab Firasat Ilmu Membaca Sifat dan Karakter Orang dari Bentuk Tubuhnya|Bentuk 2|222|Education
Komet Minor|Komet Minor|Tere Liye|223|Fiction
Komunikasi itu Ada Seninya Kuasai Cara Sukses Berkomunikasi dan|Komunikasi itu Ada Seninya|Oh Su Hyang|225|Self-Improvement
Laut Bercerita|Laut Bercerita|Unknown Author|228|Fiction
Lelaki Tua dan Laut The Old Man and the Sea Ernest Hemingway|The Old Man and the Sea|Ernest Hemingway|230|Fiction
Is It Bad Or Good Habits Bagaimana Rutinitas Dan Kebiasaan Dapat|Is It Bad Or Good Habits|Sabrina Ara|209|Self-Improvement
Hello, Cello.|Hello, Cello.|Nadia Ristivani|188|Self-Improvement
Matahari Diwan|Matahari Diwan Diwan Syams Tabrizi|Diwan|236|Self-Improvement
Membaca Ekspresi Wajah|Membaca Ekspresi Wajah|Kaputra Amda dan Ratna Fitriyani|239|Communication
Men Are from Mars, Women Are from Venus John G agoylibrary blogspot|Men Are from Mars, Women Are from Venus|John Gray, Pd.D|245|Self-Improvement
Mindset Changing b.indonesia|Mindset Changing|Dr. Carol S. Dweck|247|Self-Improvement
Mulia dengan Manhaj Salaf|Mulia dengan Manhaj Salaf|Yazid Bin Abdul Qadir Jawas|249|Self-Improvement
My-Life-as-a-Factory-Girl-in-China-Indonesian|Factory Girls|Leslie T. Chang|251|Self-Improvement
Negeri 5 Menara|Negeri 5 Menara|A. Fuadi|253|Self-Improvement
How To Win Friends Influence People In The Digital Age|How To Win Friends Influence People In The Digital Age|Dale Carnegie|193|Communication
On Palestine - Noam Chomsky|On Palestine|Noam Chomsky|257|Self-Improvement
Orang Gagal Ningen Shikkaku Osamu Dazai SFILE MOBI|Orang Gagal|Osamu Dazai|258|Technology
pdf-good-vibes-good-life-velix-king|Good Vibes Good Life|Vex King|265|Self-Improvement
pdfcoffee.com-milionaire-mindset|Millionaire Mindset|Mardigu Wowiek|266|Self-Improvement
